0	,
0	,
0	,
0	,
0	,
0	,
0	,
0	,
0	,
0	,
6	,
12	,
18	,
24	,
30	,
36	,
42	,
48	,
54	,
60	,
66	,
72	,
78	,
84	,
90	,
96	,
102	,
108	,
114	,
120	,
126	,
132	,
138	,
144	,
150	,
156	,
162	,
168	,
174	,
180	,
186	,
192	,
198	,
204	,
210	,
216	,
222	,
228	,
234	,
240	,
246	,
252	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
255	,
250	,
245	,
240	,
235	,
230	,
225	,
220	,
215	,
210	,
205	,
200	,
195	,
190	,
185	,
180	,
175	,
170	,
165	,
160	,
155	,
150	,
145	,
140	,
135	,
130	,
125	,
120	,
115	,
110	,
105	,
100	,
95	,
94	,
93	,
92	,
91	,
90	,
89	,
88	,
87	,
86	,
85	,
84	,
83	,
82	,
81	,
80	,
79	,
78	,
77	,
76	,
75	,
74	,
73	,
72	,
71	,
70	,
69	,
68	,
67	,
66	,
65	,
64	,
63	,
62	,
61	,
60	,
59	,
58	,
57	,
56	,
55	,
54	,
53	,
52	,
51	,
50	,
49	,
48	,
47	,
46	,
45	,
44	,
43	,
42	,
41	,
40	,
39	,
38	,
37	,
36	,
35	,
34	,
33	,
32	,
31	,
30	,
29	,
28	,
27	,
26	,
25	,
24	,
23	,
22	,
21	,
20	,
19	,
18	,
17	,
16	,
15	,
14	,
13	,
12	,
11	,
10	,
9	,
8	,
7	,
6	,
5	,
4	,
3	,
2	,
1	,
0	,
